PLOTID,SAMPLEID,LON,LAT,CEOreviewQAQC_multipleevents,Year_of_first_change_b,Year_of_second_change_b,Year_of_third_change_b,ChangeType_1b,ChangeType_2b,ChangeType_3b,ChangeStrata_Map
45,45,123.1033748,9.662863101,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
76,76,122.3649597,14.09119813,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
110,110,124.9825606,10.27245985,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
113,113,126.0031366,6.983547935,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
131,131,125.0879329,7.237142339,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
276,276,124.9825606,10.27245985,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
299,299,123.2594122,8.467654615,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
433,433,124.3309227,6.158355515,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
503,503,123.6113721,12.25028061,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
528,528,123.1033748,9.662863101,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
590,590,126.0314335,7.57454956,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
637,637,124.1115541,13.66566618,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
676,676,126.0031366,6.983547935,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
717,717,126.1254871,7.952919958,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
837,837,125.459027,11.74713422,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
951,951,123.8843701,12.70572646,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
981,981,122.4266739,14.26529163,LabelAgroforest-MapMulti,NA,NA,NA,,,,80
136,136,125.4746577,8.806409309,LabelDeg-MapMulti,2013,NA,NA,Degradation,,,80
491,491,117.2874122,8.611025735,LabelDeg-MapMulti,2016,NA,NA,Degradation,,,80
89,89,121.2117923,13.12964145,LabelForest-MapMulti,NA,NA,,,,,80
91,91,122.3172591,16.91172845,LabelForest-MapMulti,NA,NA,,,,,80
160,160,125.8608434,9.459394689,LabelForest-MapMulti,NA,NA,,,,,80
277,277,121.2252671,15.35108531,LabelForest-MapMulti,NA,NA,,,,,80
279,279,120.1297716,15.51978892,LabelForest-MapMulti,NA,NA,,,,,80
315,315,122.3172591,16.91172845,LabelForest-MapMulti,NA,NA,,,,,80
502,502,122.2598568,17.02006528,LabelForest-MapMulti,NA,NA,NA,,,,80
589,589,121.8698981,17.77896203,LabelForest-MapMulti,NA,NA,,,,,80
699,699,123.196081,10.82357628,LabelForest-MapMulti,NA,NA,NA,,,,80
814,814,121.2117923,13.12964145,LabelForest-MapMulti,NA,NA,,,,,80
911,911,124.9787876,11.8977817,LabelForest-MapMulti,NA,NA,,,,,80
934,934,125.3752142,12.29744217,LabelForest-MapMulti,NA,NA,,,,,80
947,947,119.0345456,10.14310245,LabelForest-MapMulti,NA,NA,,,,,80
969,969,123.9234468,7.836767791,LabelForest-MapMulti,NA,NA,,,,,80
229,229,123.8099896,8.372792521,LabelLoss-MapMulti,2007,2013,,Deforestation,Reforestation,,80
425,425,120.8455492,16.18840499,LabelLoss-MapMulti,2002,2014,,Deforestation,Reforestation,,80
572,572,124.933782,7.229865985,LabelLoss-MapMulti,2015,NA,NA,Deforestation,,,80
943,943,125.4746577,8.806409309,LabelLoss-MapMulti,2005,NA,NA,Deforestation,,,80
65,65,120.9212772,18.50605842,LabelMulti-MapMulti,2016,2017,NA,Reforestation,Deforestation,,80
186,186,120.9444537,12.72513007,LabelMulti-MapMulti,2002,2006,NA,Degradation,Degradation,,80
363,363,122.1092093,13.77103856,LabelMulti-MapMulti,2004,2014,NA,Degradation,Degradation,,80
902,902,126.2057965,7.78556382,LabelMulti-MapMulti,2012,2014,2017,Reforestation,Deforestation,Reforestation,80
24,24,121.9871282,13.22881545,LabelNonforest-MapMulti,2003,NA,,,,,80
182,182,123.0955595,11.37280624,LabelNonforest-MapMulti,NA,NA,NA,,,,80
247,247,120.580636,16.66460192,LabelNonforest-MapMulti,NA,NA,NA,,,,80
273,273,120.9201992,12.74129975,LabelNonforest-MapMulti,NA,NA,NA,,,,80
326,326,121.0579109,13.65488639,LabelNonforest-MapMulti,NA,NA,NA,,,,80
391,391,122.1092093,10.96236599,LabelNonforest-MapMulti,NA,NA,NA,,,,80
420,420,120.4458887,17.32378568,LabelNonforest-MapMulti,NA,NA,NA,,,,80
427,427,120.4421158,14.45905823,LabelNonforest-MapMulti,NA,NA,NA,,,,80
496,496,125.3073015,7.802811474,LabelNonforest-MapMulti,NA,NA,NA,,,,80
546,546,120.780601,17.47874506,LabelNonforest-MapMulti,NA,NA,NA,,,,80
588,588,125.4264181,12.0268696,LabelNonforest-MapMulti,NA,NA,NA,,,,80
618,618,125.6139864,11.33265155,LabelNonforest-MapMulti,NA,NA,NA,,,,80
692,692,122.3649597,14.09119813,LabelNonforest-MapMulti,NA,NA,NA,,,,80
824,824,125.0879329,7.237142339,LabelNonforest-MapMulti,NA,NA,NA,,,,80
841,841,125.2967913,8.61722411,LabelNonforest-MapMulti,NA,NA,NA,,,,80
846,846,123.071844,10.13420913,LabelNonforest-MapMulti,NA,NA,NA,,,,80
907,907,121.9871282,13.22881545,LabelNonforest-MapMulti,NA,NA,NA,,,,80
919,919,121.9642212,20.43644813,LabelNonforest-MapMulti,NA,NA,NA,,,,80
923,923,124.6214378,7.532508405,LabelNonforest-MapMulti,NA,NA,NA,,,,80
933,933,125.1062586,11.34747375,LabelNonforest-MapMulti,NA,NA,NA,,,,80
966,966,124.1263763,12.66799722,LabelNonforest-MapMulti,NA,NA,NA,,,,80
974,974,120.9212772,18.50605842,LabelNonforest-MapMulti,NA,NA,NA,,,,80
338,338,124.5494828,9.909989636,LabelReforest-MapMulti,2010,NA,,Reforestation,,,80
650,650,126.2532275,8.904235843,LabelReforest-MapMulti,2015,NA,NA,Reforestation,,,80
663,663,121.3802264,17.41864777,LabelReforest-MapMulti,2017,NA,NA,Reforestation,,,80
